Day,Month,Year,daily_unit_sales,previous_year_daily_unit_sales,percentage_difference_daily_unit_sales,daily_unit_sales_kg,previous_year_daily_unit_sales_kg,percentage_difference_daily_unit_sales_kg,daily_unit_returns_kg,previous_year_daily_unit_returns_kg,points_of_distribution,previous_year_points_of_distribution
5,June,2020,"3,609",,,"2,165",,17.45%,,,796,
6,June,2020,"1,937",,,"1,162",,24.60%,,,537,
7,June,2020,"1,455",,,873,,0.07%,,,11,
8,June,2020,"2,522",,,"1,513",,12.79%,,,616,
9,June,2020,"4,017",,,"2,410",,15.77%,,,753,
10,June,2020,"3,574",,,"2,144",,17.10%,,,792,
11,June,2020,"4,876",,,"2,926",,13.02%,,,789,
12,June,2020,"2,809",,,"1,685",,19.19%,,,761,
13,June,2020,"1,891",,,"1,135",,21.45%,,,540,
14,June,2020,"2,018",,,"1,211",,2.98%,,,22,
15,June,2020,"3,302",,,"1,981",,17.51%,,,1026,
16,June,2020,"2,202",,,"1,321",,21.55%,,,731,
17,June,2020,"3,251",,,"1,951",,16.66%,,,856,
18,June,2020,"5,865",,,"3,519",,10.11%,,,675,
19,June,2020,"3,287",,,"1,972",,17.04%,,,912,
20,June,2020,"1,918",,,"1,151",,21.62%,,,553,
21,June,2020,"2,474",,,"1,484",,0.88%,,,17,
22,June,2020,"3,813",,,"2,288",,17.22%,,,993,
23,June,2020,"2,406",,,"1,444",,20.57%,,,725,
24,June,2020,"4,472",,,"2,683",,12.50%,,,803,
25,June,2020,"4,292",,,"2,575",,12.64%,,,707,
26,June,2020,"3,240",,,"1,944",,17.75%,,,753,
27,June,2020,"1,765",,,"1,059",,22.32%,,,537,
28,June,2020,"2,357",,,"1,414",,4.88%,,,20,
29,June,2020,"3,151",,,"1,891",,18.93%,,,1004,
30,June,2020,"3,228",,,"1,937",,16.98%,,,2097,
1,July,2020,"3,465",,,"2,079",,21.39%,,,698,
2,July,2020,"5,039",,,"3,023",,13.15%,,,623,
3,July,2020,"3,942",,,"2,365",,16.94%,,,705,
4,July,2020,"2,397",,,"1,438",,20.92%,,,568,
5,July,2020,513,,,308,,5.18%,,,15,
6,July,2020,"5,987",,,"3,592",,13.16%,,,940,
7,July,2020,"3,358",,,"2,015",,19.28%,,,715,
8,July,2020,"4,247",,,"2,548",,15.45%,,,832,
9,July,2020,"2,755",,,"1,653",,22.11%,,,671,
10,July,2020,"3,553",,,"2,132",,18.21%,,,884,
11,July,2020,"1,778",,,"1,067",,19.22%,,,502,
12,July,2020,"1,188",,,713,,0.83%,,,18,
13,July,2020,"4,693",,,"2,816",,14.41%,,,971,
14,July,2020,"3,217",,,"1,930",,20.35%,,,764,
15,July,2020,"2,638",,,"1,583",,23.51%,,,874,
16,July,2020,"5,863",,,"3,518",,10.61%,,,749,
17,July,2020,"3,075",,,"1,845",,20.11%,,,864,
18,July,2020,"1,451",,,871,,26.75%,,,494,
19,July,2020,"2,087",,,"1,252",,1.32%,,,23,
20,July,2020,"3,044",,,"1,826",,17.10%,,,741,
21,July,2020,"2,849",,,"1,709",,18.46%,,,760,
22,July,2020,"2,101",,,"1,261",,19.75%,,,707,
23,July,2020,"4,628",,,"2,777",,11.91%,,,707,
24,July,2020,"3,068",,,"1,841",,17.26%,,,761,
25,July,2020,"1,429",,,857,,23.09%,,,455,
26,July,2020,890,,,534,,4.30%,,,22,
27,July,2020,"3,954",,,"2,372",,13.89%,,,931,
28,July,2020,"3,214",,,"1,928",,16.95%,,,721,
29,July,2020,"3,071",,,"1,843",,18.48%,,,692,
30,July,2020,"3,009",,,"1,805",,19.50%,,,762,
31,July,2020,"2,434",,,"1,460",,19.86%,,,1557,
1,August,2020,"1,460",,,876,,22.75%,,,498,
2,August,2020,"1,843",,,"1,106",,4.16%,,,32,
3,August,2020,"4,710",,,"2,826",,13.61%,,,742,
4,August,2020,"2,171",,,"1,303",,22.99%,,,547,
5,August,2020,"2,771",,,"1,663",,17.36%,,,506,
6,August,2020,"3,611",,,"2,167",,15.25%,,,550,
