Day,Month,Year,daily_unit_sales,previous_year_daily_unit_sales,percentage_difference_daily_unit_sales,daily_unit_sales_kg,previous_year_daily_unit_sales_kg,percentage_difference_daily_unit_sales_kg,daily_unit_returns_kg,previous_year_daily_unit_returns_kg,points_of_distribution,previous_year_points_of_distribution,,
20,August,2022,"1,471","2,671",-44.93%,883,"1,603",-44.93%,2.51%,3.27%,445,566,,
21,August,2022,"2,001","1,433",39.64%,"1,201",860,39.64%,0.15%,1.44%,24,449,,
22,August,2022,"3,720","1,260",195.24%,"2,232",756,195.24%,1.97%,0.63%,720,22,,
23,August,2022,"2,546","4,324",-41.12%,"1,528","2,594",-41.12%,2.70%,5.11%,601,739,,
24,August,2022,"2,644","2,196",20.40%,"1,586","1,318",20.40%,2.85%,6.68%,578,601,,
25,August,2022,"2,521","3,543",-28.85%,"1,513","2,126",-28.85%,3.07%,2.46%,556,655,,
26,August,2022,"3,326","3,901",-14.74%,"1,996","2,341",-14.74%,4.04%,1.90%,685,585,,
27,August,2022,"1,460","2,949",-50.49%,876,"1,769",-50.49%,3.15%,2.30%,452,664,,
28,August,2022,652,"1,787",-63.51%,391,"1,072",-63.51%,0.15%,0.98%,19,474,,
29,August,2022,"4,034","1,212",232.84%,"2,420",727,232.84%,1.20%,0.65%,695,17,,
30,August,2022,"2,671","4,129",-35.31%,"1,603","2,477",-35.31%,5.66%,4.59%,617,688,,
31,August,2022,"4,154","2,447",69.76%,"2,492","1,468",69.76%,2.24%,2.23%,2392,2355,,
1,September,2022,"2,311","5,183",-55.41%,"1,387","3,110",-55.41%,8.88%,6.84%,621,697,,
2,September,2022,"3,454","3,719",-7.13%,"2,072","2,231",-7.13%,2.90%,1.04%,664,579,,
3,September,2022,"1,933","3,087",-37.38%,"1,160","1,852",-37.38%,0.92%,2.71%,489,706,,
4,September,2022,684,"1,903",-64.06%,410,"1,142",-64.06%,0.58%,1.42%,15,530,,
5,September,2022,"4,178",777,437.71%,"2,507",466,437.71%,1.09%,0.89%,672,17,,
