Day,Month,Year,daily_unit_sales,previous_year_daily_unit_sales,percentage_difference_daily_unit_sales,daily_unit_sales_kg,previous_year_daily_unit_sales_kg,percentage_difference_daily_unit_sales_kg,daily_unit_returns_kg,previous_year_daily_unit_returns_kg,points_of_distribution,previous_year_points_of_distribution,,,,,,
13,April,2021,"2,398","3,655",-34.39%,"1,439","2,193",-34.39%,2.47%,16.25%,597,799,,,,,,
14,April,2021,"3,868","2,398",61.30%,"2,321","1,439",61.30%,1.68%,19.96%,588,719,,,,,,
15,April,2021,"4,091","1,922",112.85%,"2,455","1,153",112.85%,2.97%,23.46%,558,602,,,,,,
16,April,2021,"2,738","2,853",-4.03%,"1,643","1,712",-4.03%,4.11%,23.55%,669,688,,,,,,
17,April,2021,"1,586","3,480",-54.43%,952,"2,088",-54.43%,3.35%,15.70%,473,593,,,,,,
18,April,2021,491,"1,563",-68.59%,295,938,-68.59%,14.66%,20.94%,12,460,,,,,,
19,April,2021,"3,934",0,#DIV/0!,"2,360",,,2.22%,,704,,,,,,,
20,April,2021,"3,308",716,362.01%,"1,985",430,362.01%,1.25%,1.24%,546,17,,,,,,
21,April,2021,"2,437","2,276",7.07%,"1,462","1,366",7.07%,2.77%,15.58%,569,935,,,,,,
22,April,2021,"3,584","3,225",11.13%,"2,150","1,935",11.13%,1.25%,15.15%,522,829,,,,,,
23,April,2021,"2,410","2,545",-5.30%,"1,446","1,527",-5.30%,2.91%,19.94%,592,625,,,,,,
24,April,2021,"1,342","2,710",-50.48%,805,"1,626",-50.48%,0.84%,17.20%,422,788,,,,,,
25,April,2021,"2,206","1,728",27.66%,"1,324","1,037",27.66%,0.09%,22.62%,21,497,,,,,,
26,April,2021,"4,001",644,521.27%,"2,401",386,521.27%,1.87%,6.80%,646,19,,,,,,
27,April,2021,"2,142","3,652",-41.35%,"1,285","2,191",-41.35%,2.03%,16.54%,468,1003,,,,,,
28,April,2021,"2,593","3,214",-19.32%,"1,556","1,928",-19.32%,1.22%,18.76%,543,904,,,,,,
29,April,2021,"4,131","5,162",-19.97%,"2,479","3,097",-19.97%,1.25%,13.87%,503,835,,,,,,
30,April,2021,"2,940","2,064",42.44%,"1,764","1,238",42.44%,2.52%,32.48%,2291,1684,,,,,,
1,May,2021,"1,443","1,314",9.82%,866,788,9.82%,4.43%,6.14%,450,12,,,,,,
2,May,2021,0,"2,613",-100.00%,,"1,568",-100.00%,,16.68%,,669,,,,,,
3,May,2021,0,"1,458",-100.00%,,875,-100.00%,,2.41%,,24,,,,,,
4,May,2021,542,"3,717",-85.42%,325,"2,230",-85.42%,1.09%,21.03%,15,980,,,,,,
5,May,2021,"3,215","3,953",-18.67%,"1,929","2,372",-18.67%,1.86%,19.62%,587,790,,,,,,
6,May,2021,"3,938","5,375",-26.73%,"2,363","3,225",-26.73%,3.84%,13.36%,651,674,,,,,,
7,May,2021,"4,122","5,253",-21.53%,"2,473","3,152",-21.53%,2.47%,17.08%,726,705,,,,,,
8,May,2021,"2,507","4,535",-44.72%,"1,504","2,721",-44.72%,1.43%,19.19%,572,903,,,,,,
9,May,2021,"2,707","2,327",16.33%,"1,624","1,396",16.33%,0.18%,21.54%,12,582,,,,,,
10,May,2021,"5,988","3,058",95.81%,"3,593","1,835",95.81%,0.69%,2.49%,772,23,,,,,,
11,May,2021,"3,399","4,566",-25.56%,"2,039","2,740",-25.56%,1.68%,18.32%,642,1171,,,,,,
12,May,2021,"3,364","3,342",0.66%,"2,018","2,005",0.66%,2.08%,23.14%,664,844,,,,,,
13,May,2021,"5,536","5,100",8.55%,"3,322","3,060",8.55%,0.84%,13.69%,612,858,,,,,,
14,May,2021,"3,860","5,670",-31.92%,"2,316","3,402",-31.92%,2.59%,13.16%,759,859,,,,,,
15,May,2021,"2,265","3,803",-40.44%,"1,359","2,282",-40.44%,0.84%,20.02%,544,1202,,,,,,
16,May,2021,"1,022","2,307",-55.70%,613,"1,384",-55.70%,5.35%,23.38%,20,610,,,,,,
17,May,2021,"5,169",493,948.48%,"3,101",296,948.48%,1.20%,20.74%,814,16,,,,,,
18,May,2021,"2,954","5,245",-43.68%,"1,772","3,147",-43.68%,1.04%,17.45%,678,1181,,,,,,
19,May,2021,"5,394","5,057",6.66%,"3,236","3,034",6.66%,0.67%,17.13%,706,903,,,,,,
20,May,2021,"5,163","4,735",9.04%,"3,098","2,841",9.04%,1.76%,18.91%,607,1126,,,,,,
21,May,2021,"3,859","5,942",-35.06%,"2,315","3,565",-35.06%,2.12%,15.19%,768,875,,,,,,
22,May,2021,"2,445","4,605",-46.91%,"1,467","2,763",-46.91%,0.46%,18.71%,539,1122,,,,,,
23,May,2021,"2,111","2,604",-18.93%,"1,267","1,562",-18.93%,0.05%,20.97%,12,605,,,,,,
24,May,2021,"5,722","1,583",261.47%,"3,433",950,261.47%,0.69%,2.94%,800,22,,,,,,
25,May,2021,"2,264","4,933",-54.11%,"1,358","2,960",-54.11%,3.84%,19.33%,700,1078,,,,,,
26,May,2021,"2,555","3,715",-31.22%,"1,533","2,229",-31.22%,2.13%,18.35%,696,853,,,,,,
27,May,2021,"5,701","5,712",-0.19%,"3,421","3,427",-0.19%,2.49%,13.52%,636,909,,,,,,
28,May,2021,"4,342","3,321",30.74%,"2,605","1,993",30.74%,1.76%,24.86%,739,917,,,,,,
29,May,2021,"2,354","3,784",-37.79%,"1,412","2,270",-37.79%,1.14%,17.38%,593,888,,,,,,
30,May,2021,"1,497","2,073",-27.79%,898,"1,244",-27.79%,0.20%,18.67%,14,506,,,,,,
31,May,2021,"4,657","2,219",109.87%,"2,794","1,331",109.87%,2.03%,0.45%,2433,1316,,,,,,
1,June,2021,"4,207","5,580",-24.61%,"2,524","3,348",-24.61%,2.30%,16.47%,684,739,,,,,,
2,June,2021,"3,157","2,655",18.91%,"1,894","1,593",18.91%,2.26%,21.05%,698,612,,,,,,
3,June,2021,"5,209","4,318",20.63%,"3,125","2,591",20.63%,0.83%,15.65%,665,646,,,,,,
4,June,2021,"4,917","3,061",60.63%,"2,950","1,837",60.63%,1.40%,20.99%,752,737,,,,,,
5,June,2021,"2,480","3,609",-31.28%,"1,488","2,165",-31.28%,0.80%,17.45%,530,796,,,,,,
6,June,2021,"3,352","1,937",73.05%,"2,011","1,162",73.05%,0.06%,24.60%,16,537,,,,,,
7,June,2021,"4,743","1,455",225.98%,"2,846",873,225.98%,2.61%,0.07%,818,11,,,,,,
8,June,2021,"4,124","2,522",63.52%,"2,474","1,513",63.52%,1.91%,12.79%,703,616,,,,,,
9,June,2021,"5,315","4,017",32.31%,"3,189","2,410",32.31%,0.78%,15.77%,710,753,,,,,,
10,June,2021,"5,489","3,574",53.58%,"3,293","2,144",53.58%,1.55%,17.10%,628,792,,,,,,
11,June,2021,"4,087","4,876",-16.18%,"2,452","2,926",-16.18%,2.06%,13.02%,750,789,,,,,,
12,June,2021,"2,314","2,809",-17.62%,"1,388","1,685",-17.62%,0.58%,19.19%,575,761,,,,,,
13,June,2021,"2,907","1,891",53.73%,"1,744","1,135",53.73%,1.66%,21.45%,19,540,,,,,,
14,June,2021,"4,912","2,018",143.41%,"2,947","1,211",143.41%,1.76%,2.98%,762,22,,,,,,
15,June,2021,"3,620","3,302",9.63%,"2,172","1,981",9.63%,0.80%,17.51%,655,1026,,,,,,
16,June,2021,"2,760","2,202",25.34%,"1,656","1,321",25.34%,1.50%,21.55%,693,731,,,,,,
17,June,2021,"6,998","3,251",115.26%,"4,199","1,951",115.26%,1.80%,16.66%,607,856,,,,,,
18,June,2021,"3,669","5,865",-37.44%,"2,201","3,519",-37.44%,1.68%,10.11%,742,675,,,,,,
19,June,2021,"2,268","3,287",-31.00%,"1,361","1,972",-31.00%,0.93%,17.04%,620,912,,,,,,
20,June,2021,"2,216","1,918",15.54%,"1,330","1,151",15.54%,0.00%,21.62%,13,553,,,,,,
21,June,2021,"3,524","2,474",42.44%,"2,114","1,484",42.44%,3.10%,0.88%,443,17,,,,,,
22,June,2021,"4,044","3,813",6.06%,"2,426","2,288",6.06%,1.04%,17.22%,741,993,,,,,,
23,June,2021,"3,280","2,406",36.33%,"1,968","1,444",36.33%,0.81%,20.57%,731,725,,,,,,
24,June,2021,"7,048","4,472",57.60%,"4,229","2,683",57.60%,0.84%,12.50%,655,803,,,,,,
25,June,2021,"3,134","4,292",-26.98%,"1,880","2,575",-26.98%,0.71%,12.64%,735,707,,,,,,
26,June,2021,"2,266","3,240",-30.06%,"1,360","1,944",-30.06%,0.13%,17.75%,587,753,,,,,,
27,June,2021,"2,683","1,765",52.01%,"1,610","1,059",52.01%,0.33%,22.32%,22,537,,,,,,
28,June,2021,"4,647","2,357",97.16%,"2,788","1,414",97.16%,1.25%,4.88%,830,20,,,,,,
29,June,2021,"3,525","3,151",11.87%,"2,115","1,891",11.87%,0.63%,18.93%,679,1004,,,,,,
30,June,2021,"5,298","3,228",64.13%,"3,179","1,937",64.13%,0.50%,16.98%,2790,2097,,,,,,
1,July,2021,"3,684","3,465",6.32%,"2,210","2,079",6.32%,3.42%,21.39%,613,698,,,,,,
2,July,2021,"3,346","5,039",-33.60%,"2,008","3,023",-33.60%,1.14%,13.15%,688,623,,,,,,
3,July,2021,"1,651","3,942",-58.12%,991,"2,365",-58.12%,1.19%,16.94%,504,705,,,,,,
4,July,2021,"1,434","2,397",-40.18%,860,"1,438",-40.18%,8.76%,20.92%,20,568,,,,,,
5,July,2021,"5,177",513,909.16%,"3,106",308,909.16%,0.84%,5.18%,776,15,,,,,,
6,July,2021,"3,044","5,987",-49.16%,"1,826","3,592",-49.16%,0.69%,13.16%,604,940,,,,,,
7,July,2021,"4,016","3,358",19.59%,"2,410","2,015",19.59%,0.67%,19.28%,612,715,,,,,,
8,July,2021,"3,725","4,247",-12.29%,"2,235","2,548",-12.29%,0.95%,15.45%,577,832,,,,,,
9,July,2021,"3,912","2,755",42.00%,"2,347","1,653",42.00%,1.11%,22.11%,666,671,,,,,,
10,July,2021,"1,760","3,553",-50.47%,"1,056","2,132",-50.47%,0.32%,18.21%,480,884,,,,,,
11,July,2021,"1,423","1,778",-19.97%,854,"1,067",-19.97%,0.07%,19.22%,21,502,,,,,,
12,July,2021,"3,711","1,188",212.37%,"2,227",713,212.37%,1.02%,0.83%,722,18,,,,,,
13,July,2021,"2,690","4,693",-42.68%,"1,614","2,816",-42.68%,1.62%,14.41%,601,971,,,,,,
14,July,2021,"4,110","3,217",27.76%,"2,466","1,930",27.76%,0.76%,20.35%,594,764,,,,,,
15,July,2021,"4,235","2,638",60.54%,"2,541","1,583",60.54%,0.83%,23.51%,590,874,,,,,,
16,July,2021,"3,031","5,863",-48.30%,"1,819","3,518",-48.30%,1.12%,10.61%,642,749,,,,,,
17,July,2021,"1,442","3,075",-53.11%,865,"1,845",-53.11%,0.63%,20.11%,453,864,,,,,,
18,July,2021,"2,676","1,451",84.42%,"1,606",871,84.42%,0.00%,26.75%,21,494,,,,,,
19,July,2021,"3,263","2,087",56.35%,"1,958","1,252",56.35%,2.16%,1.32%,695,23,,,,,,
20,July,2021,"3,246","3,044",6.64%,"1,948","1,826",6.64%,1.97%,17.10%,615,741,,,,,,
21,July,2021,"2,520","2,849",-11.55%,"1,512","1,709",-11.55%,1.27%,18.46%,631,760,,,,,,
22,July,2021,"3,655","2,101",73.96%,"2,193","1,261",73.96%,1.68%,19.75%,584,707,,,,,,
