Date,product_id,daily_unit_sales,previous_year_daily_unit_sales,daily_unit_sales_kg,previous_year_daily_unit_sales_kg,daily_unit_returns_kg,previous_year_daily_unit_returns_kg,points_of_distribution
2020-01-17,3,529.0,,317.40000000000015,,0.5128913443830568,,613.0
2020-01-18,3,463.0,,277.79999999999995,,0.27881619937694724,,261.0
2020-01-18,2,210.0,,210.0,,0,,0.0
2020-01-18,1,1743.0,,1045.8,,0,,577.0
2020-01-18,6,2088.9999999999955,,459.579999999999,,0.2746527777777772,,474.0
2020-01-18,4,401.0,,240.59999999999962,,0.3604465709728868,,297.0
2020-01-18,5,187.0,,112.20000000000007,,0.38888888888888956,,166.0
2020-01-18,7,765.9666666666653,,459.5799999999992,,0.2746527777777772,,474.0
2020-01-19,7,603.1666666666667,,361.90000000000003,,0.059462550028587774,,21.0
2020-01-19,1,1203.0000000000002,,721.8000000000001,,0,,23.0
2020-01-19,5,599.0,,359.4,,0.030744336569579284,,20.0
2020-01-19,6,1645.0,,361.9,,0.059462550028587774,,21.0
2020-01-19,3,883.0,,529.8,,0.038126361655773426,,17.0
2020-01-19,4,611.0,,366.59999999999997,,0.05855161787365177,,23.0
2020-01-19,2,497.0,,497.0,,0,,0.0
2020-01-20,2,913.0,,913.0,,0,,0.0
2020-01-20,3,707.0,,424.1999999999998,,0.3601809954751128,,580.0
2020-01-20,4,945.0,,566.9999999999995,,0.31670281995661487,,653.0
2020-01-20,5,668.0,,400.80000000000007,,0.20476190476190453,,356.0
2020-01-20,7,1399.9333333333334,,839.96,,0.21050454921422565,,807.0
2020-01-20,6,3817.9999999999945,,839.9599999999988,,0.21050454921422565,,807.0
2020-01-20,1,3542.0000000000014,,2125.2000000000007,,0,,974.0
2020-01-21,3,682.0,,409.19999999999976,,0.3416988416988417,,601.0
2020-01-21,4,932.0,,559.1999999999992,,0.28582375478927097,,700.0
2020-01-21,2,563.0,,563.0,,0,,0.0
2020-01-21,7,1167.4666666666653,,700.4799999999992,,0.26466512702078404,,779.0
2020-01-21,1,3029.0000000000027,,1817.4000000000015,,0,,912.0
2020-01-21,5,408.0,,244.7999999999999,,0.31658291457286414,,392.0
2020-01-21,6,3183.999999999996,,700.4799999999991,,0.26466512702078426,,779.0
2020-01-22,4,995.0,,596.9999999999995,,0.31046431046430967,,482.0
2020-01-22,2,617.0,,617.0,,0,,0.0
2020-01-22,1,5989.0,,3593.3999999999996,,0,,747.0
2020-01-22,5,976.0,,585.6000000000004,,0.1355181576616471,,268.0
2020-01-22,7,1659.1666666666683,,995.5000000000009,,0.20179925912859306,,645.0
2020-01-22,6,4524.999999999998,,995.4999999999995,,0.2017992591285931,,645.0
2020-01-22,3,1292.0,,775.2000000000003,,0.22727272727272688,,398.0
