Permit #,City,State,ZIP,District,Date issued,Mapped Location,Zip,lng,lat,School Board Districts,S Neighborhoods,Police Precincts,Counties,Council Districts,Zip Codes
262,Nashville,TN,37206,6,1/6/2015,"Nashville, TN",37206,36.18095,-86.739624,7,14,2,"2,005",7,"15,548"
224,Nashville,TN,37206,5,7/9/2013,"Nashville, TN",37206,36.18095,-86.739624,7,14,2,"2,005",7,"15,548"
408,Nashville,TN,37115,7,3/17/2015,"Nashville, TN",37115,36.262567,-86.704171,2,979,4,"2,005",4,"1,527"
236,Nashville,TN,37206,6,12/29/2014,"Nashville, TN",37206,36.18095,-86.739624,7,14,2,"2,005",7,"15,548"
310,Nashville,TN,37209,20,1/2/2005,"Nashville, TN",37209,36.149599,-86.874487,5,2,8,"2,005",14,"15,798"
226,Nashville,TN,37072,3,12/1/2015,"Nashville, TN",37072,36.350389,-86.731255,2,,4,"2,005",10,"13,132"
412,Nashville,TN,37216,8,4/6/2015,"Nashville, TN",37216,36.216134,-86.726204,2,82,2,"2,005",8,"16,164"
286,Nashville,TN,37221,35,12/10/2014,"Nashville, TN",37221,36.064367,-86.96029,5,84,8,"2,005",35,"16,173"
54,Nashville,TN,37204,6,12/3/2014,"Nashville, TN",37204,36.109305,-86.776748,6,,5,"2,005",23,"30,813"
456,Nashville,TN,37207,5,6/24/2015,"Nashville, TN",37207,36.224945,-86.775061,1,,6,"2,005",2,"15,550"
325,Nashville,TN,37216,7,11/19/2014,"Nashville, TN",37216,36.216134,-86.726204,2,82,2,"2,005",8,"16,164"
